,Star_name,Distance,Mass,Radius,Gravity
206,2MASSW J1632291+190441 [de],50,9.3035101068e+28,69347452.527,1290.3622342106703
207,WISEPA J164715.59+563208.2,28,7.784569681199999e+28,67202685.954,1149.7070165861733
208,LSPM J1658+7027 [de],60,1.3860331383599998e+29,74351907.864,1672.3039433327008
209,2MASSI J1726000+153819,114,4.5568212767999995e+28,100089106.74,303.3990402754234
210,SDSSp J175032.96+175903.9,90,8.9237750004e+28,69347452.527,1237.694387916357
211,2MASS J18283572-4849046,39,8.544039894e+28,67917608.145,1235.4476155259624
212,LSR J1835+3259,18.5,1.46198015964e+29,76496674.437,1666.4113007819785
213,2MASSW J1841086+311727,138,1.27211260644e+29,72207141.291,1627.3879182175199
214,2MASS J18432213+4040209,46,1.8227285107199998e+29,87220507.302,1598.1244798167959
215,2MASS J20004841-7523070,105,4.7466888299999995e+28,134405371.908,175.26021594301426
216,SDSS J204749.61-071818.3,65,8.733907447199999e+28,68632530.336,1236.7285821412115
217,2MASSI J2057540-025230,47,1.3290728724000001e+29,72922063.482,1667.0811036535667
218,2MASSI J2104149-103736,62,1.3100861170799998e+29,72922063.482,1643.2656593156585
219,PSO J318.5−22,80,1.2341390957999999e+28,109383095.22299999,68.80017253173449
220,HB 2124-4228,113,1.78475500008e+29,86505585.111,1590.8020621412472
221,2MASS J21392676+0220226,32.1,8.733907447199999e+28,68632530.336,1236.7285821412115
222,2MASS J21481628+4003593,26.3,1.0442715426e+29,70777296.90900001,1390.4370532637245
223,2MASSW J2206450-421721,93,4.1770861704e+28,95084651.403,308.16153675250763
224,2MASSW J2208136+292121,154,5.1264239364e+28,100804028.93100001,336.4996146105873
225,2MASSW J2224438-015852,38,1.1581920745199998e+29,70777296.90900001,1542.121095437949
226,2MASS J22282889-4310262,35,7.974437234399999e+28,67202685.954,1177.7486511370555
227,2MASS J22373255+3922398,64,1.3860331383599998e+29,74351907.864,1672.3039433327008
228,2MASSW J2244316+204343,56,2.2784106383999997e+28,92224962.63900001,178.67379332366733
229,2MASS J23224684-3133231,56,4.5568212767999995e+28,99374184.549,307.7801971636198
230,2MASS J23225299-6151275,148,3.2277484044000003e+28,113672628.369,166.61484945837302
231,2MASS J23515044-2537367,67,1.67083446816e+29,82930974.156,1620.4130272339796
232,2MASSI J2356547-155310,74,1.5189404256e+29,77926518.81899999,1668.3840275505147
233,WISE 0410+1502,20,1.1392053191999999e+28,83645896.347,108.60218404190039
234,WISE 0458+6434A,35.9,2.848013298e+28,300267320.22,21.069377796904398
235,WISE 0458+6434B,35.9,1.898675532e+28,271670432.58,17.15899466008281
236,WISE 1405+5534,25.3,5.696026596e+28,61483308.426,1005.0400874456292
